COR001;01;CORTAR              ;1FU7731000001  ;5249
COR001;01;CORTAR              ;1FU7790300005  ;5250
COR001;01;CORTAR              ;1FU7790301005  ;5251
COR001;01;CORTAR              ;1FU7801500005  ;5252
COR001;01;CORTAR              ;1FU8071000002  ;5253
COR001;01;CORTAR              ;1FU8071000005  ;5254
COR001;01;CORTAR              ;1FU8300300005  ;5255
COR001;01;CORTAR              ;1FU8311000002  ;5256
COR001;01;CORTAR              ;1FU8311000004  ;5257
COR001;01;CORTAR              ;1FU8311000005  ;5258
COR001;01;CORTAR              ;1FU8361000002  ;5259
COR001;01;CORTAR              ;1FU8361000004  ;5260
COR001;01;CORTAR              ;1FU8361000005  ;5261
COR001;01;CORTAR              ;1FU8361000007  ;5262
COR001;01;CORTAR              ;1FU8361000040  ;5263
COR001;01;CORTAR              ;1FU8361000042  ;5264
COR001;01;CORTAR              ;1FU8741000002  ;5265
COR001;01;CORTAR              ;1FU8741000004  ;5266
COR001;01;CORTAR              ;1FU8741000005  ;5267
COR001;01;CORTAR              ;1FU8790300005  ;5268
COR001;01;CORTAR              ;1FU8800300005  ;5269
COR001;01;CORTAR              ;1FU8800301005  ;5270
COR001;01;CORTAR              ;1FU8800302005  ;5271
COR001;01;CORTAR              ;1FU8800303005  ;5272
COR001;01;CORTAR              ;1FU8800304005  ;5273
COR001;01;CORTAR              ;1FU8800305005  ;5274
COR001;01;CORTAR              ;1FU8800306005  ;5275
COR001;01;CORTAR              ;1FU8890300A20  ;5276
COR001;01;CORTAR              ;1FU8920300001  ;5277
COR001;01;CORTAR              ;1FU8920300004  ;5278
COR001;01;CORTAR              ;1FU8920300005  ;5279
COR001;01;CORTAR              ;1FU8921000001  ;5280
COR001;01;CORTAR              ;1FU8921000004  ;5281
COR001;01;CORTAR              ;1FU8921000005  ;5282
COR001;01;CORTAR              ;1FU8921003A03  ;5283
COR001;01;CORTAR              ;1FU8921003A20  ;5284
COR001;01;CORTAR              ;1FU8921003A50  ;5285
